id,lat,lng,label,population,risk
43,36.6942,3.2147,"Algiers",8395497,0.00013436405669446018
69,23.8433,90.3978,"Dhaka",57695473,0.00030297452587260064
105,24.9067,67.1608,"Karachi",16780358,0.00010388633934002236
108,33.6167,73.0992,"Islamabad",15343183,0.00038064351707179777
115,31.5217,74.4036,"Lahore",16428675,0.00014140994983585198
173,5.2972,100.2767,"Penang",2621408,0.00020695340867155356
177,1.4842,110.3439,"Kuching",936145,0.00021793192762970605
182,2.7456,101.7147,"Kuala Lumpur",8711663,0.0017429638059423707
186,5.9372,116.0531,"Kota Kinabalu",1537665,0.004136610097954682
221,11.5467,104.8442,"Phnom Penh",12169535,0.0015889367381422916
222,13.4106,103.8128,"Siem Reap",4814927,0.0009185912409667317
223,10.5797,103.6369,"Sihanoukville",1091383,0.0006996761716301084
311,41.1025,121.0619,"Jinzhou",4242220,0.0025091665781150976
315,30.5786,103.9472,"Chengdu",62854385,0.03701926030440298
318,29.4786,115.8022,"Jiujiang",8026169,0.022831841916540287
322,39.1244,117.3461,"Tianjin",14241195,0.020406784897642367
323,28.8003,104.545,"Yibin",52581734,0.0011625767040279293
325,29.7194,106.6419,"Chongqing",16205267,0.024495056708346945
328,37.1872,122.2289,"Weihai",2392348,0.0008722192666250098
329,46.75,125.1392,"Daqing",6192883,0.0006288892608629696
330,27.8111,107.2461,"Zunyi",7545282,0.0022569882085071652
338,27.8833,109.3083,"Tongren",3899266,0.001529128346333305
343,36.5167,103.6167,"Lanzhou",6850245,0.01568438034464884
346,31.4947,120.4294,"Wuxi",7494542,0.00039358831944378447
348,34.4478,108.7539,"Xi'an",22353249,0.014435777900671092
353,32.1506,112.2908,"Xiangyang",11750932,0.02816604871548295
355,40.5606,109.9964,"Baotou",3343659,0.0001314146020791627
358,45.6233,126.2503,"Harbin",12100114,0.011469773571087196
360,30.3211,109.4853,"Enshi",3774134,0.015564763590525409
363,23.4275,116.7625,"Shantou",16909762,0.010665227888915602
364,44.8958,82.3,"Bole",532021,0.00018794579587599986
371,22.7947,100.9592,"Simao",2213550,0.00020613410916851623
372,29.2981,90.9122,"Lhasa",1019683,0.0001746732501071613
373,18.3028,109.4122,"Sanya",2888131,0.024208468054556908
375,26.6742,100.2436,"Lijiang",1495973,0.009048435174131864
376,25.935,119.6633,"Fuzhou",10913454,0.010570845341226083
377,27.7917,99.6781,"Deqen",748566,0.00015894283532375694
378,37.4017,121.3717,"Yantai",6160152,0.005402745427420328
379,43.9072,87.4742,"Urumqi",5237049,0.017856817540513836
382,35.0494,118.4119,"Linyi",12843250,0.003641921022087747
388,25.6503,100.3194,"Dali",3767440,0.001732149158682644
389,24.7956,118.5881,"Quanzhou",9437088,0.011105352054399534
391,36.2661,120.3744,"Qingdao",8200069,0.020541476668239134
394,38.9656,121.5386,"Dalian",5749540,0.012144870964088006
397,24.2078,109.3914,"Liuzhou",8005244,0.00428785158283789
399,21.9731,100.7631,"Jinghong",1382281,0.0010024868552988295
402,30.5569,111.4797,"Yichang",11664371,0.021870837251747134
403,29.345,120.0325,"Yiwu",6139309,0.0010586903351933608
405,31.4289,104.7408,"Mianyang",8917604,0.003205893295129909
407,29.8267,121.4619,"Ningbo",6757958,0.011404557855648345
412,31.1433,121.8053,"Shanghai",20308438,0.05827958459927166
413,41.6397,123.4833,"Shenyang",13195977,0.021428443207940632
414,24.4014,98.5322,"Mangshi",1327739,0.003097746645565366
416,23.7389,100.025,"Lincang",2848292,0.00018466862735839668
417,26.54,101.7981,"Panzhihua",4045241,0.0008761518924417704
420,40.08,116.5844,"Beijing",28331507,0.05241066150043046
421,24.9378,98.4856,"Tengchong",1002556,0.0011499595860637022
429,40.8514,111.8242,"Hohhot",4401373,0.006667897585684511
430,24.5442,118.1278,"Xiamen",8240158,0.028871064215741458
432,32.9811,112.6156,"Nanyang",12735325,0.012228316438566905
434,28.5653,121.4303,"Taizhou",5349916,0.0025766763203646337
436,44.5242,129.5689,"Mudanjiang",3143833,0.00016451403065204616
437,25.0856,104.9594,"Xingyi",7357766,0.0019486063590047013
438,31.9911,116.9892,"Hefei",14358834,0.011691351604748533
439,36.5286,102.0403,"Xining",3472426,0.0038333078581797757
441,42.8828,129.4514,"Yanji",1789684,0.0003177217989490879
442,33.4261,120.2031,"Yancheng",6283873,0.0022999191721274044
443,29.7328,118.2572,"Huangshan",1892668,0.0007883236817874581
445,31.7419,118.8619,"Nanjing",13651608,0.0005826811582196734
451,21.5394,109.2939,"Beihai",5621760,0.005813538918449712
452,27.3006,105.3017,"Bijie",6594987,0.001954013682634565
453,37.7469,112.6283,"Taiyuan",11233266,0.007885694627900054
454,32.8808,115.7336,"Fuyang",25324297,0.02217998584207471
455,23.3925,113.2989,"Guangzhou",39293380,0.03463052977991435
456,28.1936,113.2178,"Changsha",18325936,0.0018929373996872702
457,30.2294,120.4344,"Hangzhou",12817942,0.0198511404165611
458,24.9922,102.7436,"Kunming",11115277,0.039938564945742855
460,26.5386,106.8008,"Guiyang",7252992,0.01346327717712597
461,25.2181,110.0392,"Guilin",4941136,0.0018791303038467853
465,27.9131,120.8522,"Wenzhou",9918949,0.015532647303659441
467,25.6756,116.7456,"Longyan",5754349,0.0012076377932658824
